invoice_no,invoice_date,vendor_name,vendor_gstin,po_number,line_item_text,amount,gst_rate,category
INV-E150AB98,2026-08-23,KPMG Consulting,242610237679Z1,PO-578160,statutory audit fees - KPMG Consulting,371768.48,5,Professional Services
INV-C212B78E,2026-07-18,EnviroCheck Labs,248991977937Z7,,safety compliance audit - EnviroCheck Labs,302452.71,18,Professional Services
INV-EC062939,2026-06-06,National Transport Corp,242503068227Z2,PO-783414,freight charges for clinker transport - National Transport Corp,451029.04,5,Logistics
INV-60D65358,2026-07-06,EnviroCheck Labs,245610783750Z9,PO-676566,tax consulting services - EnviroCheck Labs,191365.29,18,Professional Services
INV-E1689AE7,2026-07-15,AquaFlow Water Supply,247808938880Z8,PO-592841,diesel generator fuel bill - AquaFlow Water Supply,621721.94,18,Utility
INV-AA7F32D8,2026-08-08,Indus Rail Cargo,242272368870Z6,PO-114835,rail freight for raw material - Indus Rail Cargo,931641.01,12,Logistics
INV-31038EC4,2026-06-21,Gujarat Limestone Co,246927597015Z8,PO-482554,limestone supply - Gujarat Limestone Co,813709.29,5,Raw Material
INV-E7E41B59,2026-08-12,Conveyor Systems India,242464137110Z6,PO-440140,conveyor belt spare parts - Conveyor Systems India,362375.13,28,Maintenance & Spares
INV-0C20150C,2026-08-08,Speedway Carriers,248339176912Z1,PO-945687,fuel surcharge on transport - Speedway Carriers,187054.21,5,Logistics
INV-75149B3C,2026-06-05,EcoWrap Pvt Ltd,248907752604Z3,PO-353961,jute packaging material - EcoWrap Pvt Ltd,687558.91,28,Packaging
INV-052A9F13,2026-06-09,AquaFlow Water Supply,242647489402Z9,PO-243139,industrial water supply bill - AquaFlow Water Supply,438292.86,12,Utility
INV-B9419A28,2026-06-12,EcoWrap Pvt Ltd,242897690739Z4,PO-612573,poly liner rolls - EcoWrap Pvt Ltd,149160.94,18,Packaging
INV-0FDBFE31,2026-07-01,Rajputana Aggregates,244656488400Z2,PO-808011,limestone supply - Rajputana Aggregates,913053.73,5,Raw Material
INV-92E3ED70,2026-06-26,EcoWrap Pvt Ltd,243423086220Z1,PO-630041,printed sack bundles - EcoWrap Pvt Ltd,505539.08,18,Packaging
INV-1C29A223,2026-06-14,EnviroCheck Labs,247316122432Z9,,legal advisory retainer - EnviroCheck Labs,53835.96,18,Professional Services
INV-A376E4AA,2026-07-13,Sundar Packaging Solutions,247460544248Z5,PO-218118,laminated pouches order - Sundar Packaging Solutions,435996.83,28,Packaging
INV-60F01688,2026-06-09,LegalEdge Associates,245283209430Z6,PO-844007,safety compliance audit - LegalEdge Associates,854555.65,28,Professional Services
INV-9420DC3E,2026-08-20,Deloitte Advisory,241269754673Z8,PO-117233,statutory audit fees - Deloitte Advisory,232610.01,28,Professional Services
INV-31F018A1,2026-06-23,GreenGrid Energy,245083595988Z5,PO-900177,natural gas supply for kiln - GreenGrid Energy,32364.73,12,Utility
INV-E880356C,2026-07-10,EcoWrap Pvt Ltd,247079202254Z1,PO-805448,printed sack bundles - EcoWrap Pvt Ltd,769787.94,28,Packaging
INV-22900A1C,2026-07-09,National Transport Corp,243656086594Z9,PO-564226,freight charges for clinker transport - National Transport Corp,944270.87,5,Logistics
INV-15A5E3A0,2026-07-29,MotorTech Industries,249444763362Z3,PO-748151,motor overhaul service - MotorTech Industries,116493.32,5,Maintenance & Spares
INV-5ED26C23,2026-08-17,LegalEdge Associates,244440904834Z7,,legal advisory retainer - LegalEdge Associates,878700.46,18,Professional Services
INV-8257633C,2026-07-15,Larsen Engg Works,249917981516Z2,PO-303322,conveyor belt spare parts - Larsen Engg Works,321750.64,12,Maintenance & Spares
INV-999AD8FF,2026-08-21,Shree Minerals Ltd,246464693977Z4,PO-313487,limestone supply - Shree Minerals Ltd,707356.52,12,Raw Material
INV-CCEFB743,2026-08-01,Bharat Gypsum Supplies,245161807235Z4,PO-609231,clinker raw material batch - Bharat Gypsum Supplies,100230.02,5,Raw Material
INV-5B00F4D5,2026-08-17,KilnTech Spares,247560389844Z3,PO-940181,motor overhaul service - KilnTech Spares,646965.03,28,Maintenance & Spares
INV-9CDD8C39,2026-08-05,Rajputana Aggregates,247010379415Z4,PO-245051,clinker raw material batch - Rajputana Aggregates,515716.61,28,Raw Material
INV-90DE20A4,2026-06-08,GreenGrid Energy,243781569954Z5,PO-174878,industrial water supply bill - GreenGrid Energy,408480.91,12,Utility
INV-33C4383F,2026-06-23,Larsen Engg Works,245226368665Z3,PO-937302,conveyor belt spare parts - Larsen Engg Works,750902.42,5,Maintenance & Spares
INV-01219C0A,2026-06-01,Gujarat Limestone Co,249986353481Z7,PO-146228,clinker raw material batch - Gujarat Limestone Co,468197.0,5,Raw Material
INV-02D1DB66,2026-06-06,Conveyor Systems India,243549776132Z8,PO-744986,kiln bearing replacement - Conveyor Systems India,710416.69,28,Maintenance & Spares
INV-3CBAE54F,2026-08-02,Precision Bearings Pvt Ltd,246852312425Z3,PO-458332,crusher liner replacement - Precision Bearings Pvt Ltd,486996.15,5,Maintenance & Spares
INV-A0C9C277,2026-07-23,PolyPack Industries,244310415016Z1,PO-265613,printed sack bundles - PolyPack Industries,319136.59,28,Packaging
INV-0F492662,2026-07-28,National Transport Corp,247648059419Z3,PO-597732,container handling charges - National Transport Corp,585118.49,28,Logistics
INV-5AF5B2AF,2026-08-23,Larsen Engg Works,249939982945Z3,PO-425301,preventive maintenance service - Larsen Engg Works,830629.44,18,Maintenance & Spares
INV-2ED3FFD6,2026-06-12,Larsen Engg Works,242721355673Z3,PO-132146,kiln bearing replacement - Larsen Engg Works,178884.04,12,Maintenance & Spares
INV-7239DB92,2026-08-03,GreenGrid Energy,242774884818Z4,PO-752878,electricity consumption charges - GreenGrid Energy,627516.08,28,Utility
INV-15D3982E,2026-06-13,Sundar Packaging Solutions,248130494783Z1,PO-170559,jute packaging material - Sundar Packaging Solutions,891040.56,5,Packaging
INV-CA91AE56,2026-07-14,MotorTech Industries,246857897124Z5,PO-912085,preventive maintenance service - MotorTech Industries,500428.65,12,Maintenance & Spares
INV-093AFBA8,2026-08-22,Konkan Silica Traders,242349409434Z5,PO-804318,silica sand delivery - Konkan Silica Traders,888493.29,12,Raw Material
INV-743775E8,2026-06-23,National Transport Corp,243381183483Z4,PO-497562,container handling charges - National Transport Corp,315264.3,18,Logistics
INV-8C2D8D06,2026-06-17,EnviroCheck Labs,245613503623Z8,PO-461249,environmental impact assessment - EnviroCheck Labs,732553.01,5,Professional Services
INV-52B3389D,2026-08-07,KilnTech Spares,245626388820Z2,PO-665990,conveyor belt spare parts - KilnTech Spares,949977.98,12,Maintenance & Spares
INV-6328BF68,2026-06-12,National Transport Corp,247291584955Z5,PO-357420,fuel surcharge on transport - National Transport Corp,769323.66,28,Logistics
INV-C97E2D5A,2026-08-04,Conveyor Systems India,245471158508Z4,PO-598733,preventive maintenance service - Conveyor Systems India,485657.88,28,Maintenance & Spares
INV-387A20F3,2026-07-18,GreenGrid Energy,245354747485Z9,,natural gas supply for kiln - GreenGrid Energy,93065.31,28,Utility
INV-F4BF8B6E,2026-06-30,Adani Power Distribution,241881351238Z9,PO-326441,natural gas supply for kiln - Adani Power Distribution,237441.9,12,Utility
INV-16BE6C08,2026-07-22,Sundar Packaging Solutions,242014911848Z2,PO-267475,laminated pouches order - Sundar Packaging Solutions,556678.03,5,Packaging
INV-ADD1E4D6,2026-06-21,Gujarat Limestone Co,249896606039Z3,PO-356702,silica sand delivery - Gujarat Limestone Co,205355.62,18,Raw Material
